Description,Price/Unit,Unit,Price/Measure,Measure
Mr Kipling Viennese Whirls x6,1.00,unit,17p,ea
Sainsbury's Large Oat Topped Wholemeal Deli Rolls x4,1.00,unit,25p,ea
Mr Kipling Bakewell Cake Slices x6,1.00,unit,17p,ea
Warburtons Toasting Muffins x4,85p,unit,21p,ea
"Sainsbury's Victoria Sponge Cake, Taste the Difference 345g (Serves 6)",2.75,unit,80p,100g
Sainsbury's Farmhouse White Bread 400g,80p,unit,20p,100g
Sainsbury's Cherry Madeira Cake (Serves 8),1.25,unit,47p,100g
Warburtons Extra Thick Sliced White Bread 800g,1.10,unit,14p,100g
Real Lancashire Eccles Cakes x4,1.60,unit,40p,ea
Sainsbury's Cherry Bakewells x6 240g,90p,unit,15p,ea
"Sainsbury's Multiseed Thick Sliced Wholemeal Bread, SO Organic 400g",1.10,unit,28p,100g
Sainsbury's Genoa Cake 305g (Serves 8),1.40,unit,44p,100g
Sainsbury's Walnut Cob Taste the Difference 400g,1.70,unit,43p,100g
Sainsbury's Brioche Burger Buns x4,90p,unit,23p,ea
Vogel's Soya & Linseed Medium Sliced Bread 800g,1.55,unit,19p,100g
Sainsbury's Thick Sliced Wholemeal Bread 800g,55p,unit,7p,100g
"Sainsbury's Multiseed Medium Sliced Half Bloomer, Taste Difference 400g",1.20,unit,30p,100g
Sainsbury's Baguettine,35p,unit,35p,ea
Sainsbury's Pains Au Chocolat x6 270g,1.00,unit,17p,ea
Sheldon's Sliced Hot Dog Rolls x6,1.00,unit,17p,ea
Warburtons Sliced White Rolls x12,1.60,unit,13p,ea
Sainsbury's White Bloomer 800g,1.10,unit,14p,100g
Sainsbury's 4 Blueberry Muffins 276g,1.00,unit,25p,ea
Warburtons Soft White Rolls Sliced x6,1.00,unit,17p,ea
Paul Hollywood Ready to Bake Crusty Rolls x4,1.40,unit,35p,ea
Warburtons Multigrain & Seeds Medium Sliced Bread 400g,2.00,unit,50p,100g
Sainsbury's Croissants x6 240g,1.00,unit,17p,ea
Mr Kipling Frosty Fancies x8,1.50,unit,19p,ea
Paul Hollywood Ready to Bake Rustic Rolls x4,1.70,unit,43p,ea
Sheldon's Burger Buns x6,1.00,unit,17p,ea
Black Sheep Craft Tiger Bloomer 800g,1.30,unit,16p,100g
Kingsmill Tasty Wholemeal Rolls x 6,1.00,unit,17p,ea
