Description,Price/Unit,Unit,Price/Measure,Measure
Sainsbury's Strawberry Jam 454g,75p,unit,17p,100g
Nature Valley Crunchy Oats & Honey Cereal Bars 5x42g,1.50,unit,71p,100g
Farrow's Giant Marrowfat Peas 300g (180g*),40p,unit,2.23,kg
McVitie's Club Orange Biscuits x8,1.70,unit,97p,100g
Walkers Squares Salt & Vinegar Snacks 6x22g,1.25,unit,95p,100g
Heinz Baked Beans In Tomato Sauce 200g,70p,unit,3.50,kg
Sainsbury's Spaghetti 1kg,1.00,unit,1.00,kg
Walkers Salt & Shake Crisps 6x24g,1.70,unit,1.18,100g
Heinz Baked Beans In Tomato Sauce 150g,55p,unit,3.67,kg
Bisto Reduced Salt Gravy Granules 170g,1.00,unit,59p,100g
Sainsbury's Sardines in Olive Oil 120g (90g*),40p,unit,44p,100g
Ritz Original Crackers 200g,1.00,unit,50p,100g
Napolina Peeled Plum Tomatoes 400g,1.00,unit,2.50,kg
Sainsbury's Sardines in Tomato Sauce 120g,40p,unit,33p,100g
Ambrosia Custard Pots 4x125g,1.50,unit,30p,100g
Sharwood's Medium Egg Noodles 340g,1.75,unit,5.15,kg
Tyrrells Lightly Sea Salted Sharing Crisps 150g,2.00,unit,1.33,100g
Just Snax Salted Peanuts 200g,50p,unit,25p,100g
Nescaf Gold Blend Instant Coffee 200g,5.00,unit,2.50,100g
Sainsbury's Wholewheat Fusilli 1kg,1.00,unit,1.00,kg
Sainsbury's Rich Tea Biscuits 200g,45p,unit,23p,100g
Sainsbury's Sweetcorn 3x198g (157g*),1.30,unit,2.76,kg
Sainsbury's Italian Plum Tomatoes 400g,35p,unit,88p,kg
Sainsbury's Icing Sugar 1kg,1.70,unit,1.70,kg
"Quaker Oat So Simple Porridge, Golden Syrup Flavour 10x36g",2.75,unit,76p,100g
Sainsbury's Milk Chocolate Digestive Biscuits 400g,60p,unit,15p,100g
Sainsbury's White Caster Sugar1kg,1.60,unit,1.60,kg
Cadbury Fudge Chocolate Bar 6x22g,1.25,unit,95p,100g
"Sainsbury's Chickpeas, SO Organic 380g (230g*)",75p,unit,3.26,kg
KitKat Chunky Milk Chocolate Bar Multipack 4x40g,1.00,unit,63p,100g
Bonne Maman Strawberry Conserve 370g,2.60,unit,70p,100g
Oxo Beef Stock Cubes x12 71g,1.00,unit,1.41,100g
Lindt Excellence Dark 70% Cocoa Chocolate Bar 100g,1.50,unit,1.50,100g
Kettle Chips Mature Cheddar & Red Onion Sharing Crisps 150g,1.00,unit,67p,100g
Kellogg's Special  K Original Cereal 750g,3.00,unit,40p,100g
Heinz Cream of Tomato Soup 300g,90p,unit,30p,100g
Napolina Chick Peas 400g (240g*),65p,unit,2.71,kg
Quaker Rolled Porridge Oats 1kg,1.75,unit,18p,100g
Sainsbury's Oaty Biscuits 300g,45p,unit,15p,100g
Sainsbury's Chopped Tomatoes 227g,30p,unit,1.32,kg
Walkers Smoky Bacon Crisps 6x25g,1.70,unit,1.13,100g
Sunny Raisins Kids Snack 14 Pack,2.00,unit,1.02,100g
Kettle Chips Sea Salt & Crushed Black Peppercorns Sharing Crisps 150g,1.00,unit,67p,100g
Cadbury Curly Wurly Chocolate Bar x6,1.25,unit,97p,100g
Sainsbury's Baked Beans 6x400g,1.50,unit,63p,kg
Napolina Penne 500g,1.30,unit,2.60,kg
Sainsbury's Jam Sandwich Creams 150g,45p,unit,30p,100g
Del Monte Fruit Cocktail In Juice 415g (250g Drained),1.00,unit,40p,100g
"Quaker Oat So Simple Porridge Pot, Golden Syrup Flavour 57g",90p,unit,1.58,100g
Sainsbury's Tagliatelle 500g,65p,unit,1.30,kg
Sainsbury's Fairtrade White Granulated Sugar 1kg,80p,unit,80p,kg
Sainsbury's Highland All Butter Shortbread Finger Biscuits 400g,1.00,unit,25p,100g
Del Monte Peach Slices In Juice 415g (250g Drained),1.00,unit,40p,100g
Sainsbury's Plain Flour 500g,55p,unit,1.10,kg
Bisto Chicken Gravy Granules 170g,1.00,unit,59p,100g
Napolina Red Kidney Beans 400g (240g*),65p,unit,2.71,kg
Paxo Sage & Onion Stuffing for Chicken 170g,1.00,unit,5.88,kg
McCoy's Flame Grilled Steak Variety Pack Crisps 6x25g,1.70,unit,1.13,100g
KP Original Salted Peanuts 250g,2.50,unit,1.00,100g
