Description,Price/Unit,Unit,Price/Measure,Measure
Birds Eye Chicken Quarter Pounders x2 227g,1.65,unit,7.27,kg
"Sainsbury's Ice Cream Cones, Strawberry & Vanilla 4x110ml",1.20,unit,27p,100ml
Dr. Oetker Ristorante Pepperoni-Salame Pizza 320g,2.50,unit,7.81,kg
Sainsbury's Cauliflower Florets 1kg,1.00,unit,1.00,kg
"Viennetta Ice Cream Dessert, Vanilla 650ml",1.00,unit,15p,100ml
Cauldron Vegan Tofu Block 396g,2.00,unit,5.05,kg
Linda McCartney Rosemary Vegetarian Sausages x6 270g,2.20,unit,7.33,kg
Sainsbury's Garlic Slices x10 260g,1.00,unit,3.85,kg
Carte D'Or Classic Vanilla Ice Cream Dessert 1L,2.00,unit,20p,100ml
"Sainsbury's Straight Cut Oven Chips, Be Good To Yourself 900g",1.25,unit,1.39,kg
"Wall's Soft Scoop Ice Cream Dessert, Vanilla 1.8L",2.45,unit,14p,100ml
The Greengrocer Mixed Vegetables 1kg,79p,unit,79p,kg
Magnum Mini Ice Cream Double Caramel & Double Chocolate 6x60ml,2.50,unit,69p,100ml
Magnum Ice Cream Almond 4x100ml,3.20,unit,80p,100ml
"Sainsbury's Carrots, Baby 1kg",1.00,unit,1.00,kg
Fab Strawberry x6 348ml,2.20,unit,63p,100ml
Linda McCartney Mozzarella Burger x2 227g,2.20,unit,9.69,kg
Sainsbury's Sweet Potato Fries 500g,2.30,unit,4.60,kg
Young's Chip Shop Large Cod Fillets 440g,3.50,unit,7.96,kg
"Sainsbury's Indulgence Ice Cream, Milk Chocolate 4x110ml",1.35,unit,31p,100ml
Aunt Bessie's Home Bake Yorkshire Puddings x16 490g,1.55,unit,3.17,kg
"Sainsbury's Ice Cream Cones, Chocolate & Nut 4x110ml",1.20,unit,27p,100ml
Birds Eye Omega 3 Fish Fingers x10 280g,1.50,unit,5.36,kg
Birds Eye Shortcrust Chicken Pies x4 620g,2.25,unit,3.63,kg
Magnum Ice Cream White Chocolate 4x110ml,3.20,unit,73p,100ml
Coca-Cola Zero Sugar 2L,1.50,unit,7p,100ml
Sainsbury's Cod Fish Fingers x12 360g,2.25,unit,6.25,kg
"Sainsbury's Indulgence Ice Cream, Almond Chocolate 4x110ml",1.35,unit,31p,100ml
Sainsbury's Frozen Strawberries & Blueberries 400g,2.00,unit,50p,100g
Sainsbury's Frozen Dark Sweet Cherries 500g,2.00,unit,40p,100g
Sainsbury's Large Cold Water Prawns 250g,3.50,unit,14.00,kg
Sainsbury's Rocket Ice Lollies x8 464ml,1.10,unit,24p,100ml
Sainsbury's Salmon Fillets 360g,3.25,unit,9.03,kg
Coca-Cola Original Taste 1.5L,1.60,unit,10p,100ml
Birds Eye Large Breaded Cod Fillets x4 440g,3.50,unit,7.96,kg
Quorn Vegetarian Chicken Style Pieces 500g,2.50,unit,5.00,kg
Sainsbury's Lightly Spiced Wedges 900g,1.25,unit,1.39,kg
Young's Admirals Pie 300g,1.50,unit,5.00,kg
Sainsbury's Fruit Juice Ice Cream Splits 6x73ml,1.10,unit,25p,100ml
Sainsbury's Cod Fillet Portion 380g,3.25,unit,8.55,kg
Mackie's of Scotland Luxury Traditional Real Dairy Ice Cream 1L,3.00,unit,30p,100ml
Sainsbury's Cod Fish Fingers x30 900g,5.00,unit,5.56,kg
Sainsbury's Baby Whole Leaf Spinach 1kg,1.50,unit,1.50,kg
Sainsbury's Potato Croquettes 700g,1.00,unit,1.43,kg
Birds Eye Chicken Nuggets x50 790g,4.00,unit,5.06,kg
