Description,Price/Unit,Unit,Price/Measure,Measure
Sainsbury's Bath Sponge,50p,unit,50p,ea
Head & Shoulders Classic Clean Anti-Dandruff Shampoo 500ml,3.50,unit,70p,100ml
Sainsbury's 100% Cotton Pleats 200g,1.00,unit,50p,100g
Sainsbury's Pure Soap 4x125g,1.30,unit,26p,100g
Herbal Essences Dazzling Shine Shampoo 400ml,2.00,unit,50p,100ml
"Right Guard Total Defence 5, Anti-Perspirant Deodorant, Clean 250ml",1.50,unit,60p,100ml
Sainsbury's Pantyliners Normal x30,95p,unit,3p,ea
Simple Kind to Skin Moisturising Handwash 250ml,1.00,unit,40p,100ml
Nivea Shower Cream Gel Rich Moisture Sensitive 250ml,1.00,unit,40p,100ml
L'Oreal Elvive Colour Protect Coloured Hair Conditioner 400ml,3.50,unit,88p,100ml
"TRESemm Moisture Rich, Luxurious Moisture Hair Shampoo 900ml",2.95,unit,33p,100ml
Aquafresh Complete Care Fresh Mint Mouthwash 500ml,2.50,unit,50p,100ml
"Bodyform Sanitary Towels, Invisible, Normal, Non Winged x16",1.50,unit,9p,ea
Johnson's Baby Bedtime Bath 500ml,2.00,unit,40p,100ml
Sainsbury's Effervescent Vitamin C 1000mg x20,1.20,unit,6p,ea
"Calpol Infant Suspension Sugar Free, Strawberry 100ml",3.50,unit,3.50,100ml
"Radox Feel Good Fragrance Bath Soak, Stress Relief 500ml",1.20,unit,24p,100ml
Sanex Dermo Sensitive Roll On Antiperspirant Deodorant 50ml,1.00,unit,2.00,100ml
Always Dailies Fresh & Protect Panty Liners Normal x 60,2.00,unit,3p,ea
Dove Original Beauty Cream Bar 6x100g,2.50,unit,42p,100g
Sensodyne Pronamel Daily Protection Enamel Care Toothpaste 75ml,3.80,unit,5.07,100ml
Sainsbury's Hayfever & Allergy Relief x14,1.95,unit,14p,ea
"TRESemm Moisture Rich, Luxurious Moisture Hair Conditioner 900ml",2.95,unit,33p,100ml
Aquafresh Big Teeth 6-8 Years Kids Toothpaste 75ml,1.50,unit,2.00,100ml
Sainsbury's Ultra Towel Super Wings x12,65p,unit,5p,ea
"Lynx Body Spray Deodorant, Africa 150ml",3.00,unit,2.00,100ml
Sanex Zero% Sensitive Skin Shower Gel 250ml,1.50,unit,60p,100ml
Baylis & Harding Jojoba Handwash 500ml,1.50,unit,30p,100ml
Jakemans Throat & Chest Lozenges x100g,65p,unit,65p,100g
Palmolive Naturals Almond Handwash Soap 300ml,90p,unit,30p,100ml
Colgate Total Whitening Toothpaste Pump 100ml,2.50,unit,2.50,100ml
Gillette Sensitive Skin Shaving Gel 200ml,1.75,unit,88p,100ml
