Description,Price per Unit,Unit,Price per Measure,Measure
Aunt Bessie's Honey Glazed Roast Parsnips 500g,1.00,unit,2.00,kg
"Sainsbury's Cold Water Prawns, Basics 250g",2.50,unit,10.00,kg
Aunt Bessie's Toad In The Hole 190g,1.00,unit,5.26,kg
Birds Eye Breaded Cod Cakes x4 198g,1.10,unit,5.56,kg
Rowntree's Fruit Pastille Ice Lollies 4x65ml,2.20,unit,85p,100ml
Sainsbury's Greengrocer Red Berry Mix 400g,1.50,unit,38p,100g
Sainsbury's Cauliflower & Broccoli Floret Mix 1kg,1.00,unit,1.00,kg
Valley Foods Chicken Fillets 750g,3.50,unit,4.67,kg
Young's Scampi 220g,2.00,unit,9.09,kg
Birds Eye Petits Pois 1.05kg,2.50,unit,2.38,kg
Cadbury Flake 99 Ice Cream Cones x4 125ml,3.00,unit,60p,100ml
Sainsbury's Frozen Summer Fruits 500g,2.00,unit,40p,100g
Sainsbury's Mini Crispy Potatoes 700g,1.25,unit,1.79,kg
Sainsbury's Vegetable Medley 1kg,1.50,unit,1.50,kg
"Sainsbury's Choc Ices, Milk 8x70ml",1.20,unit,21p,100ml
Sainsbury's Broad Beans 750g,1.30,unit,1.73,kg
Wall's Solero Exotic Ice Cream Lolly 3 x 90ml,2.50,unit,93p,100ml
Sainsbury's Button Sprouts 1kg,1.30,unit,1.30,kg
Sainsbury's Stir Fry Vegetables 650g,1.50,unit,2.31,kg
Aunt Bessie's Duck Fat Roast Potatoes 700g,1.40,unit,2.00,kg
Sainsbury's Vanilla Soft Scoop Ice Cream 2L,1.80,unit,9p,100ml
Birds Eye Chicken Quarter Pounders x2 227g,1.65,unit,7.27,kg
"Sainsbury's Ice Cream Cones, Strawberry & Vanilla 4x110ml",1.20,unit,27p,100ml
Sainsbury's Cauliflower Florets 1kg,1.00,unit,1.00,kg
"Viennetta Ice Cream Dessert, Vanilla 650ml",1.00,unit,15p,100ml
Sainsbury's Garlic Slices x10 260g,1.00,unit,3.85,kg
Carte D'Or Classic Vanilla Ice Cream Dessert 1L,2.00,unit,20p,100ml
"Wall's Soft Scoop Ice Cream Dessert, Vanilla 1.8L",2.45,unit,14p,100ml
Magnum Ice Cream Almond 4x100ml,3.20,unit,80p,100ml
Linda McCartney Mozzarella Burger x2 227g,2.20,unit,9.69,kg
"Sainsbury's Indulgence Ice Cream, Milk Chocolate 4x110ml",1.35,unit,31p,100ml
Young's Chip Shop Large Cod Fillets 440g,3.50,unit,7.96,kg
"Sainsbury's Ice Cream Cones, Chocolate & Nut 4x110ml",1.20,unit,27p,100ml
Sainsbury's Sweet Potato Fries 500g,2.30,unit,4.60,kg
Birds Eye Shortcrust Chicken Pies x4 620g,2.25,unit,3.63,kg
Magnum Ice Cream White Chocolate 4x110ml,3.20,unit,73p,100ml
Sainsbury's Cod Fish Fingers x12 360g,2.25,unit,6.25,kg
