Description,Price/Unit,Unit,Price/Measure,Measure
Oyster Bay Sauvignon Blanc 75cl,8.00,unit,8.00,75cl
Coca-Cola Zero Sugar 8x330ml,3.00,unit,11p,100ml
Diet Coke Caffeine Free 8x330ml,3.00,unit,11p,100ml
Pepsi Max Cans 8x330ml,3.00,unit,11p,100ml
"Sainsbury's British Skimmed Milk, SO Organic 1.13L (2 pint)",1.05,unit,92p,ltr
Valdo Prosecco Marca Oro 75cl,8.50,unit,8.50,75cl
Canti Prosecco 75cl,7.50,unit,7.50,75cl
Campo Viejo Rioja Tempranillo 75cl,6.50,unit,6.50,75cl
Nescaf Azera Americano Instant Coffee 100g,4.60,unit,4.60,100g
"Sainsbury's Double Strength Orange & Mango Squash, No Added Sugar 1.5L",1.00,unit,7p,100ml
Yorkshire Everyday Tea Bags x80,2.00,unit,80p,100g
"Sainsbury's Still Flavoured Water, Lemon & Lime 1L",50p,unit,5p,100ml
Sainsbury's Diet Indian Tonic with Lime 1L,60p,unit,6p,100ml
Sainsbury's Pure Orange Juice 6x200ml,1.50,unit,13p,100ml
Sainsbury's Kids Caledonian Still Water 6x300ml,1.10,unit,6p,100ml
Ribena Blackcurrant Squash 850ml,2.30,unit,27p,100ml
Schweppes Lemonade 2L,1.00,unit,5p,100ml
Volvic Mineral Water 6x1.5L,3.40,unit,4p,100ml
Tropicana Orange Juice Original 950ml,1.50,unit,16p,100ml
Alpro Oat Long Life Drink 1L,1.80,unit,1.80,ltr
Robinsons Orange & Pineapple Squash No Added Sugar 1L,1.65,unit,17p,100ml
Robinsons Lemon Squash No Added Sugar 1L,1.65,unit,17p,100ml
St Helen's Farm Semi Skimmed Goats Milk 1L,1.80,unit,1.80,ltr
"Sainsbury's Double Strength Orange, Lemon & Pineapple Squash, No Added Sugar 1.5L",1.00,unit,7p,100ml
"Sainsbury's Double Strength Summerfruits Squash, No Added Sugar 1.5L",1.00,unit,7p,100ml
"Sainsbury's British Whole Milk, SO Organic 1.13L (2 pint)",1.05,unit,92p,ltr
Nescaf Gold Blend Instant Coffee 200g,5.00,unit,2.50,100g
Sainsbury's Cola Zero 2L,45p,unit,2p,100ml
Innocent Orange Juice Smooth 900ml,2.50,unit,28p,100ml
"Sainsbury's Pinot Grigio, Taste the Difference 75cl",6.00,unit,6.00,75cl
Sainsbury's Caledonian Still Water 2L,50p,unit,3p,100ml
Sainsbury's Cava Brut 75cl,6.00,unit,6.00,75cl
Schweppes Tonic Water 1L,1.00,unit,10p,100ml
Oatly Oat Drink Barista Edition Long Life 1L,1.80,unit,1.80,ltr
Edizione 789 Di Mondelli Prosecco 75cl,6.25,unit,6.25,75cl
Alpro Soya Light Chilled Drink 1L,1.55,unit,1.55,ltr
Sainsbury's House Pinot Grigio 75cl,4.50,unit,4.50,75cl
Highland Spring Still Water Sports Cap 12x330ml,3.00,unit,8p,100ml
"Sainsbury's Double Strength Cherries & Berries Squash, No Added Sugar 1.5L",1.00,unit,7p,100ml
St Helen's Farm Whole Goats Milk 1L,1.80,unit,1.80,ltr
Koko Coconut UHT Drink 1L,1.50,unit,1.50,ltr
Sainsbury's Pure Orange Juice With Bits 1L,85p,unit,9p,100ml
Sainsbury's Lemonade 2L,60p,unit,3p,100ml
Oatly Organic Oat Drink Long Life 1L,1.50,unit,1.50,ltr
Sainsbury's Diet Indian Tonic with Lemon 1L,60p,unit,6p,100ml
Sainsbury's Gold Roast Instant Coffee 200g,3.00,unit,1.50,100g
PG tips Original Biodegradable Black Tea Bags x160,3.00,unit,65p,100g
Fever Tree Refreshingly Light Indian Tonic Water 500ml,1.45,unit,29p,100ml
Sainsbury's Cranberry Juice Drink 1L,85p,unit,9p,100ml
Nescafe Gold Blend Instant Coffee Refill 150g,3.50,unit,2.33,100g
Sainsbury's Pure Orange Juice with Juicy Bits 1L,90p,unit,9p,100ml
Blue Diamond Almond Breeze Long Life Unsweetened Drink 1L,1.00,unit,1.00,ltr
Sainsbury's Pure Apple Juice 1L,85p,unit,9p,100ml
"Tetley Everyday Tea Bags, Softpack x240",4.00,unit,53p,100g
McGuigan Estate Chardonnay 75cl,5.10,unit,5.10,75cl
Arla B.O.B. Skimmed Milk 2L,1.90,unit,95p,ltr
Arla Lactofree Fresh Whole Dairy Drink 1L,1.50,unit,1.50,ltr
Maschio Prosecco Doc Brut 75cl,7.50,unit,7.50,75cl
Sainsbury's High Juice Orange Squash 1L,2.30,unit,23p,100ml
Yellow Tail Shiraz 75cl,6.00,unit,6.00,75cl
"Sainsbury's Lemonade, Diet 4x2L",2.00,unit,3p,100ml
"Sainsbury's Freshly Squeezed Orange Juice with Bits, Taste the Difference 1L",2.50,unit,25p,100ml
Actimel Yogurt Drink Strawberry 12x100g,3.75,unit,31p,100g
Cadbury Drinking Chocolate 500g,3.00,unit,60p,100g
Rice Dream Rice Drink 1L,1.60,unit,16p,100ml
Stella Artois Premium Lager Beer Cans 18x440ml,12.00,unit,1.52,ltr
"Sainsbury's Fairtrade Italian Style Coffee, Strength 4 227g",2.30,unit,1.01,100g
Innocent Apple Juice 1.35L,2.50,unit,18p,100ml
Pepsi Max Cherry 2L,1.50,unit,8p,100ml
"Sainsbury's Sultana Scones, Taste the Difference x4",1.25,unit,32p,ea
