Description,Price/Unit,Unit,Price/Measure,Measure
L'Oreal Elvive Colour Protect Coloured Hair Shampoo 250ml,3.00,unit,1.20,100ml
Carex Advanced Protect Moisturising Antibacterial Hand Wash 500ml,1.75,unit,35p,100ml
Sainsbury's Fairtrade Cottonwool Pads x100,1.85,unit,2p,ea
Sainsbury's Classic Clean Anti-Dandruff 2 in 1 Shampoo 300ml,1.00,unit,33p,100ml
Silvikrin Classic Hairspray Firm Hold 400ml,3.50,unit,88p,100ml
Gillette Mach 3 Razor Blades x4,9.00,unit,2.25,bld
Vosene Medicated Original Anti-Dandruff Shampoo 250ml,2.00,unit,80p,100ml
L'Oreal Paris Age Perfect Cleansing Wipes x25,4.75,unit,19p,wipe
Method Handwash Botanical Garden 354ml,2.00,unit,57p,100ml
Herbal Essences Ignite My Colour Conditioner 400ml,2.00,unit,50p,100ml
Sainsbury's Coconut Shampoo 500ml,75p,unit,15p,100ml
Gillette Fusion Razor Blades x4,12.50,unit,3.13,bld
Alberto Balsam Coconut & Lychee Hair Shampoo 350ml,1.00,unit,29p,100ml
Aussie Mega Instant Shampoo 300ml,4.00,unit,1.33,100ml
L'Oreal Elvive Fibrology Fine Hair Conditioner 400ml,2.50,unit,63p,100ml
Gillette Venus Sensitive Skin Shave Gel 200ml,2.00,unit,1.00,100ml
Batiste Blush Floral & Flirty Dry Shampoo 200ml,2.25,unit,1.13,100ml
Lynx Body Spray Deodorant Dark Temptation 150ml,1.75,unit,1.17,100ml
Aussie 3 Minute Miracle Reconstructor Conditioner 250ml,5.00,unit,2.00,100ml
Simple Kind To Skin Hydrating Light Face Moisturiser 125ml,3.00,unit,2.40,100ml
Gillette Series Sensitive Shaving Gel 200ml,2.50,unit,1.25,100ml
Impulse Body Spray Very Pink 75ml,1.00,unit,1.33,100ml
TRESemm Colour Revitalise Colour Fade Protection Hair Shampoo 900ml,2.69,unit,30p,100ml
Alberto Balsam Coconut & Lychee Hair Conditioner 350ml,1.00,unit,29p,100ml
L'Oreal Elvive Colour Protect Coloured Hair Conditioner 250ml,3.00,unit,1.20,100ml
Method Sweet Water Gel Handwash 354ml,2.00,unit,57p,100ml
Imperial Leather Meadow Honey & Shea Butter Handwash 300ml,90p,unit,30p,100ml
Alberto Balsam Juicy Green Apple Hair Shampoo 350ml,1.00,unit,29p,100ml
Imperial Leather Handwash 300ml,90p,unit,30p,100ml
Nivea Refreshingly Soft Moisturising Cream for Face Hands & Body 75ml,2.25,unit,3.00,100ml
Aveeno Daily Moisturising Lotion 300ml,4.65,unit,1.55,100ml
Sanex Dermo Moisturising Shower Gel 450ml,2.00,unit,44p,100ml
Head & Shoulders Classic Clean Anti-Dandruff 2 in 1 Shampoo 225ml,2.00,unit,89p,100ml
Sainsbury's Nail Polish Remover 250ml,1.25,unit,50p,100ml
Head & Shoulders Itchy Scalp & Anti-Dandruff Shampoo 500ml,4.50,unit,90p,100ml
Sainsbury's Mens Sensitive Shave Foam 250ml,95p,unit,38p,100ml
Sainsbury's Coconut Conditioner 500ml,75p,unit,15p,100ml
Sainsbury's Face Cloth,1.00,unit,1.00,ea
Cussons Mild Cream Bar Soap 4x90g,1.00,unit,28p,100g
Nivea Eye Make-Up Remover Double Effect 125ml,3.00,unit,2.40,100ml
Aveeno Intensive Relief Hand Cream 75ml,3.35,unit,4.47,100ml
Nivea Men Sensitive Shave Foam with 0% Alcohol 200ml,2.50,unit,1.25,100ml
Simple Kind To Skin Refreshing Facial Wash Gel 150ml,3.00,unit,2.00,100ml
Carex Advanced Protect Marine Antibacterial Hand Wash 500ml,1.75,unit,35p,100ml
Nivea Soap Bar Soft 2x100g,1.00,unit,50p,100g
Gillette Venus Simply 2 Disposable Razors x8,3.00,unit,38p,ea
Imperial Leather Sensitive Botanical Garden 300ml,90p,unit,30p,100ml
L'Oreal Elvive Extraordinary Oil Dry Hair Conditioner 400ml,2.50,unit,63p,100ml
Neutrogena Norwegian Formula Hand Cream Unscented 50ml,3.50,unit,7.00,100ml
Sainsbury's Collection Handwash Rose & Peony 500ml,1.30,unit,26p,100ml
Gillette Venus Oceana Disposable Razors x3,5.50,unit,1.83,ea
Adidas Body Spray Ice Dive 150ml,1.80,unit,1.20,100ml
Impulse Bodyspray Deodorant Be Suprised 75ml,1.00,unit,1.33,100ml
Aussie Aussome Volume Shampoo 300ml,4.00,unit,1.33,100ml
Simple Kind To Skin Replenishing Rich Face Moisturiser for Dry Skin 125ml,3.00,unit,2.40,100ml
Bic 2 Blade Disposable Razor Sensitive Skin x10,2.00,unit,20p,bld
Alberto Balsam Ultra Strong Styling Gel 200ml,1.00,unit,50p,100ml
Gillette Mach 3 Razor Blades x8,15.00,unit,1.88,bld
Dove Daily Moisture Conditioner 350ml,1.75,unit,50p,100ml
Venus Smooth Razor Blades X4,8.50,unit,2.13,bld
Lynx Body Spray Deodorant Attract for Him 150ml,1.75,unit,1.17,100ml
L'Oreal Elnett Normal Strength Hairspray 200ml,4.00,unit,2.00,100ml
Dove Intensive Repair Conditioner 350ml,1.75,unit,50p,100ml
L'Oreal Elvive Extraordinary Oil Dry Hair Shampoo 400ml,2.50,unit,63p,100ml
Head & Shoulders Citrus Fresh Anti-Dandruff Shampoo 500ml,4.50,unit,90p,100ml
Baylis & Harding Limited Edition Bottle of Hope Hand Wash 500ml,2.00,unit,40p,100ml
Herbal Essences Bio:Renew Shampoo 400ml Argan Oil of Morocco,4.50,unit,1.13,100ml
Imperial Leather Foamburst Unicorn Marshmallow 200ml,3.00,unit,1.50,100ml
Clean & Clear Cleansing Lotion 200ml,3.00,unit,1.50,100ml
Garnier Micellar Water Sensitive Skin 400ml,3.00,unit,75p,100ml
TRESemm Remoisturising Hair Conditioner 900ml,2.69,unit,30p,100ml
Head & Shoulders Apple Anti-Dandruff Shampoo 500ml,4.50,unit,90p,100ml
L'Oreal Elvive Full Restore 5 Damaged Hair Shampoo 400ml,2.50,unit,63p,100ml
Carex Advanced Care Macadamia Oil Antibacterial Hand Wash 500ml,1.75,unit,35p,100ml
Simple Kind To Skin Soothing Face Toner 200ml,3.00,unit,1.50,100ml
Simple Kind To Eyes Eye Makeup Remover Pads x30,4.00,unit,13p,ea
Nivea Body Lotion for Dry Skin Rich Nourishing 400ml,5.00,unit,1.25,100ml
Herbal Essences Bio:Renew Conditioner 400ml Argan Oil of Morocco,4.50,unit,1.13,100ml
Dove Intensive Repair Shampoo 400ml,1.75,unit,44p,100ml
Nivea Refreshing Face Wash Gel 150ml,3.00,unit,2.00,100ml
Simple Kind To Skin Purifying Cleansing Lotion for Sensitive Skin 200ml,3.00,unit,1.50,100ml
Wilkinson Sword Razor Blades Extra II Sensitive x10,3.00,unit,30p,bld
Wella Shockwaves Ultra Strong Power Hold Hairspray 250ml,2.00,unit,80p,100ml
Herbal Essences Bee Strong Shampoo 400ml,2.00,unit,50p,100ml
Sainsbury's Extra Strength Nail Polish Remover 250ml,1.50,unit,60p,100ml
E45 Cream 125g,4.00,unit,3.20,100g
Vaseline Original Petroleum Jelly 50ml,1.50,unit,3.00,100ml
Aussie Miracle Moist Shampoo 500ml,4.50,unit,90p,100ml
Neutrogena T/Gel Therapeutic Shampoo 125ml,5.00,unit,4.00,100ml
