Description,Price/Unit,Unit,Price/Measure,Measure
Sainsbury's Washing Up Liquid Lemon 740ml,80p,unit,1.08,ltr
Harpic White & Shine Toilet Bleach 750ml,1.00,unit,1.33,ltr
Harpic Power Plus Toilet Cleaner Gel Original 750ml,1.90,unit,2.53,ltr
Fairy Platinum Quickwash Original Washing Up Liquid 383ml,1.00,unit,2.61,ltr
Andrex Supreme Quilts Toilet Tissue 4 Rolls,2.75,unit,43p,100sht
Duck Liquid Toilet Cleaner Marine 750ml,1.00,unit,1.33,ltr
Cif Floor Cleaner Ocean 950ml,1.50,unit,1.58,ltr
Sainsbury's Fabric Conditioner Gentle 1.26L (42 Washes),1.35,unit,1.07,ltr
Duracell Plus Alkaline AA Batteries pack of 12,10.00,unit,83p,batt
Sainsbury's Super Soft Toilet Tissue Aloe Vera x9 Rolls,3.35,unit,22p,100sht
Marigold Kitchen Gloves Medium,2.50,unit,2.50,ea
Cushelle Toilet Tissue White x16 Rolls,7.50,unit,26p,100sht
TV Choice Magazine,69p,unit,69p,ea
Sainsbury's Dishwasher Salt Granules 1kg,1.50,unit,1.50,kg
Sainsbury's Toilet Cleaner Aqua 750ml,65p,unit,87p,ltr
Sainsbury's Super Soft Toilet Tissues Recycled x9 Rolls,3.00,unit,15p,100sht
Sainsbury's Extra Strong Foil 10mx300mm,1.50,unit,15p,mtr
Sainsbury's Tall Kitchen Bin Bags 30L x20,2.50,unit,13p,ea
Fairy Antibacterial Washing Up Liquid Eucalyptus 625ml,2.00,unit,3.20,ltr
Sainsbury's Food & Freezer Bags Medium Reseal 30x26cm x20,2.00,unit,10p,ea
Flash Cleaning Wipes Blossom Antibacterial x48,1.50,unit,3p,wipe
Sainsbury's Sandwich Bags Easy Seal 195x19cm x60,2.00,unit,3p,ea
Sainsbury's Firelighters x32,2.50,unit,8p,ea
Sainsbury's Super Soft Facial Tissues x2,1.50,unit,83p,100sht
Buster Bathroom Sink Plughole Unblocker 300ml,3.50,unit,11.67,ltr
Sainsbury's All Purpose Cloths x10,1.00,unit,10p,ea
Sainsbury's Non-Scratch Sponge Scourers x3,65p,unit,22p,ea
Ecover Washing-up Liquid Camomile & Clementine 950ml,2.75,unit,2.89,ltr
Sainsbury's Food & Freezer Bags Large Tie Handle 43x17cm x20,1.20,unit,6p,ea
Radio Times Magazine,3.50,unit,3.50,ea
Sainsbury's Super Soft Toilet Tissue Quilted x4 Rolls,1.90,unit,28p,100sht
Fairy Non Bio Washing Liquid Gel for Sensitive Skin 888ml (24 Washes),4.00,unit,4.50,ltr
Zoflora Concentrated Disinfectant & Odour Neutraliser 120ml (Type Varies),1.30,unit,10.83,ltr
Sainsbury's Fabric Conditioner Clear Skies 1.26L (42 Washes),1.35,unit,1.07,ltr
Sainsbury's Heavy Duty Tie Handle Garden Sacks x10,2.00,unit,20p,ea
Andrex Classic Clean Moist Toilet Tissue 3 Pack,3.00,unit,2p,wipe
Cif Cream Lemon 500ml,1.00,unit,2.00,ltr
Sainsbury's Drawstring Refuse Sacks x20,2.25,unit,11p,ea
House 247 Kitchen Towel x1,99p,unit,41p,100sht
Kleenex Extra Large Tissues 2 Boxes,2.25,unit,2.56,100sht
Harpic 100% Limescale Remover Toilet Cleaner Gel Fresh Scent 750ml,1.00,unit,1.33,ltr
Cif Power & Shine Bathroom Spray 700ml,2.00,unit,2.86,ltr
Sainsbury's Super Soft Mansize 3 Ply Tissues Twin Pack x66 Sheets,2.50,unit,1.89,100sht
Sainsbury's All In One Dishwasher Tablets Lemon x30,2.95,unit,10p,ea
Finish Dishwasher Grease & Limescale Deep Cleaner 250ml,2.00,unit,8.00,ltr
Sainsbury's Tie Handle Pedal Bin Bags x40,2.10,unit,5p,ea
Sainsbury's Tie Top Refuse Sacks x40,4.00,unit,10p,ea
Sainsbury's Non Bio Concentrated Laundry Liquid 750ml (25 Washes),1.75,unit,2.33,ltr
Comfort Fabric Conditioner Blue Skies 3L (85 Washes),3.75,unit,1.25,ltr
