Description,Price/Unit,Unit,Price/Measure,Measure
Sainsbury's 21 Day Matured Rump Steak 225g,2.32,unit,10.31,kg
Sainsbury's British Honey Roast Ham 115g x10 Slices,1.00,unit,87p,100g
Sainsbury's Chargrilled British Chicken Breast Slices 160g,2.50,unit,1.56,100g
Sainsbury's Lamb Mince 20% Fat 500g,3.57,unit,7.14,kg
Sainsbury's Ready Prepared Mini Carrots 240g,80p,unit,3.33,kg
Sainsbury's Smoked Streaky Bacon Rashers 300g,2.00,unit,6.67,kg
Sainsbury's Unsmoked Bacon Medallions Be Good To Yourself 200g,2.00,unit,10.00,kg
Sainsbury's British Fresh Diced Chicken Breast 410g,2.70,unit,6.59,kg
Sainsbury's Thick Smoked Bacon Rashers x6 300g,1.80,unit,6.00,kg
Sainsbury's Ready To Roast Mediterranean Style Vegetables 400g (Serves 2),1.50,unit,3.75,kg
Sainsbury's Broccoli & Cauliflower Florets 240g,1.00,unit,4.17,kg
Sainsbury's Fennel Loose,3.90,kg,3.90,kg
Sainsbury's Fishcakes Melting Middle Cod & Parsley Sauce Fishcakes Taste the Difference x2 290g,2.50,unit,8.62,kg
Sainsbury's Baby Potatoes with Herbs & Butter 385g,1.00,unit,2.60,kg
Sainsbury's Free Range British Chicken Thigh Fillets Taste the Difference (approx.360g),9.95,kg,1.00,100g
Sainsbury's Mashed Potato 400g,1.00,unit,2.50,kg
Sainsbury's Salmon Fillets Taste the Difference x2 240g,5.00,unit,20.83,kg
Sainsbury's Free Range British Whole Chicken Taste the Difference (approx.1.7kg),5.50,kg,5.50,kg
Sainsbury's Broccoli Baby Corn Carrots & Sugar Snap Peas 240g,1.50,unit,6.25,kg
Sainsbury's Brussels Pt 170g,1.00,unit,59p,100g
Sainsbury's 21 Day Matured Sirloin Steak 225g,3.50,unit,15.56,kg
Sainsbury's Yorkshire Puddings x12 220g,1.20,unit,5.45,kg
Sainsbury's British Pork Mince 5% Fat 500g,2.19,unit,4.38,kg
Sainsbury's Greens 500g,52p,unit,1.04,kg
Sainsbury's Breaded Yorkshire Ham Taste the Difference 120g,2.00,unit,1.67,100g
Sainsbury's British Pork & Apple Sausages Taste the Difference x6 400g,2.00,unit,5.00,kg
Sainsbury's Salmon Fillet Lightly Smoked Taste the Difference x2 240g,5.25,unit,21.88,kg
Sainsbury's British Wafer Thin Honey Cured Ham 400g,2.20,unit,55p,100g
Sainsbury's Beef Meatballs 10% Fat 350g,2.00,unit,5.71,kg
Quorn Vegetarian Mince Family Pack 500g,2.60,unit,5.20,kg
Sainsbury's Mild Smoked Salmon 100g,3.25,unit,3.25,100g
Sainsbury's Beef Mince 5% Fat 250g,1.79,unit,7.16,kg
Sainsbury's Butcher's Choice British Pork Chipolata sausages x12 340g,1.50,unit,4.41,kg
Sainsbury's German Salami Slices 150g,1.10,unit,73p,100g
Sainsbury's 2% Fresh British Turkey Mince 500g,3.35,unit,6.70,kg
Sainsbury's Free Range British Chicken Breast Fillets So Organic (approx.325g),20.95,kg,2.10,100g
Sainsbury's Bunched Beetroot 500g,1.50,unit,3.00,kg
Sainsburys unsmoked British small gammon joint 750g,3.75,unit,5.00,kg
Sainsbury's Quarter Pounder Beef Burgers x4 454g,2.50,unit,5.51,kg
Sainsbury's Roast in the Bag British Whole Fresh Chicken with Pork & Sage & Onion Stuffing 1.35kg,4.00,unit,2.85,kg
Sainsbury's British Cooked Chicken 115g x10 Slices,1.00,unit,87p,100g
Innocent Orange Juice Smooth 900ml,1.50,unit,17p,100ml
Sainsbury's Ready Prepared Spring Greens 200g,1.00,unit,5.00,kg
Sainsbury's Salmon Fillets 480g,6.25,unit,13.02,kg
Quorn Vegetarian Mince 300g,1.50,unit,5.00,kg
Sainsbury's Fish Pie Mix 300g,3.75,unit,12.50,kg
Sainsbury's British Pork Sausages Taste the Difference x6 400g,2.00,unit,5.00,kg
Sainsbury's British Cooked Ham 240g x14 Slices,2.50,unit,1.04,100g
Sainsbury's Italian Prosciutto Crudo Slices 70g,87p,unit,1.24,100g
Sainsbury's Yorkshire Puddings x6 132g,1.00,unit,7.58,kg
Yellow Tail Shiraz 75cl,6.00,unit,6.00,75cl
Sainsbury's German Brunswick Ham Slices x5 100g,99p,unit,99p,100g
Sainsbury's British Pork Loin Steaks x8 800g,3.15,unit,3.94,kg
Sainsbury's Seafood Sticks x16 250g,1.30,unit,52p,100g
Sainsbury's British Honey Roast Wiltshire Cured Ham Taste the Difference 120g,2.75,unit,2.29,100g
Sainsbury's British Smoked Boneless Mackerel Taste the Difference (approx. 165g),20.00,kg,2.00,100g
Sainsbury's Unsmoked Streaky Bacon Taste the Difference 220g,2.75,unit,12.50,kg
Sainsbury's Bistro Salad 150g,1.25,unit,83p,100g
Sainsbury's Skinless & Boneless Smoked Haddock Fillets 240g,4.50,unit,18.75,kg
Aunt Bessie's Honey Glazed Parsnips 500g,1.75,unit,3.50,kg
Sainsbury's Pastrami Taste the Difference 120g,2.75,unit,2.29,100g
Sainsbury's British Wafer Thin Beef 85g x5 Slices,1.75,unit,2.06,100g
Sainsbury's Blue Stilton Cheese 220g,1.90,unit,8.64,kg
Sainsbury's British Thick Cut Ham Be Good To Yourself 80g x4 Slices,1.75,unit,2.19,100g
Sainsbury's Somerset Brie Cheese 160g,1.55,unit,9.69,kg
Sainsbury's British Fresh Medium Whole Chicken 1.6kg,3.30,unit,2.06,kg
Bernard Matthews Chicken Chunks 90g,1.00,unit,1.11,100g
Sainsbury's Sweet Potato SO Organic 750g,2.40,unit,3.20,kg
Sainsbury's British King Edward Potatoes 2kg,1.75,unit,88p,kg
Sainsbury's Beef Meatballs Taste the Difference 350g,2.75,unit,7.86,kg
Sainsbury's British Fresh Chicken Skin on Drumsticks 1kg,1.35,unit,1.35,kg
Quorn Vegetarian Chicken Style Pieces 300g,1.50,unit,5.00,kg
Paxo Sage & Onion Stuffing for Chicken 170g,1.30,unit,7.65,kg
Le Rustique Camembert Cheese 250g,1.50,unit,6.00,kg
Deli Express British Drury Lane  Ham 150g,2.25,unit,1.50,100g
Sainsbury's Cheese & Ham Fresh British Chicken Breaded Kievs x2 260g,2.20,unit,8.46,kg
Sainsbury's Spanish Chorizo Slices 180g,1.15,unit,64p,100g
Sainsbury's Free Range British Chicken Breast Fillets Taste the Difference x2 (approx. 310g),15.85,kg,15.85,kg
Sainsbury's British Fresh Chicken Thigh Fillets Skinless & Boneless 320g,2.00,unit,6.25,kg
Sainsbury's British Pork Cumberland Sausages Taste the Difference x6 400g,2.75,unit,6.88,kg
Sainsbury's Crispy Potato Slices 350g,1.80,unit,5.14,kg
Sainsbury's Butcher's Choice British Pork & British Bacon Pigs In Blankets x12 260g,3.00,unit,11.54,kg
Sainsbury's 30 Day Matured Sirloin Steak Taste the Difference 225g,4.50,unit,20.00,kg
Saint Agur Blue Cheese 150g,2.35,unit,15.67,kg
Sainsbury's British Smoked Cooked Crispy Bacon 50g,2.00,unit,4.00,100g
Sainsbury's British Hot Smoked Peppered Mackerel Fillets x2 (approx. 280g),11.00,kg,1.10,100g
Sainsbury's Spanish Serrano Ham Slices 70g,1.04,unit,1.49,100g
Sainsbury's British Fresh Chicken Breast Mini Fillets 640g,3.40,unit,5.31,kg
Sainsbury's 7% Fresh British Turkey Mince 500g,2.00,unit,4.00,kg
Sainsbury's British Wafer Thin Cooked Ham 400g,2.20,unit,55p,100g
Sainsbury's Fishcakes Salmon & Ginger Taste the Difference x2 290g,2.50,unit,8.62,kg
Sainsbury's Roast Turkey Breast Slices x6 120g,1.75,unit,1.46,100g
Sainsbury's Roast Boneless Cooked British Chicken Breast x4 480g,5.75,unit,1.20,100g
Sainsbury's Spanish Diced Chorizo 150g,2.60,unit,1.73,100g
Sainsbury's Unsmoked Streaky Bacon Rashers 300g,2.00,unit,6.67,kg
Sainsbury's Beef Mince 12% Fat Taste the Difference 500g,3.50,unit,7.00,kg
Quorn Vegetarian Sausages 336g,2.00,unit,5.95,kg
President Brie Cheese 200g,1.90,unit,9.50,kg
Sainsbury's Breaded Fresh British Chicken Goujons 270g,1.60,unit,5.93,kg
Sainsbury's Oak Smoked Scottish Salmon Taste the Difference 100g,4.35,unit,4.35,100g
Sainsbury's Lightly Dusted Lemon Sole x2 265g,4.50,unit,16.98,kg
Sainsbury's Butcher's choice British Pork Sausage x12 681g,2.10,unit,3.08,kg
Sainsbury's Cod Fishcakes x2 270g,1.15,unit,4.26,kg
Sainsbury's Oatcakes Highland 300g,90p,unit,30p,100g
Richmond Thin Pork Sausages x12 340g,2.00,unit,5.88,kg
Sainsbury's British Peppered Roast Beef 85g x3 Slices,1.75,unit,2.06,100g
Sainsbury's Fishcakes Scottish Salmon x2 270g,1.45,unit,5.37,kg
Sainsbury's Oak Smoked Dry Cure Bacon Taste the Difference x6 220g,2.75,unit,12.50,kg
Sainsbury's Corned Beef 100g,1.45,unit,1.45,100g
Sainsbury's Butcher's choice Lincolnshire British Pork Sausage x8 454g,1.50,unit,3.30,kg
Sainsbury's British Wafer Thin Cooked Chicken 400g,2.20,unit,55p,100g
Sainsbury's Air Dried Oak Smoked Finely Sliced Ham Taste the Difference 120g,2.75,unit,2.29,100g
Sainsbury's Vanilla Custard Taste the Difference 500g,2.15,unit,43p,100g
Sainsbury's Unsmoked Wiltshire Cured Back Bacon Taste the Difference x8 240g,2.75,unit,11.46,kg
Sainsbury's Italian Milano Salami Slices 43g,60p,unit,1.40,100g
Sainsbury's Mini British Beef Meatballs 10% Fat x20 350g,2.00,unit,5.71,kg
Aunt Bessie's Duck Fat Roast Potatoes 700g,2.80,unit,4.00,kg
Sainsbury's Free Range British Chicken Breast Fillets Taste the Difference (approx.590g),15.20,kg,1.52,100g
Linda McCartney Rosemary Vegetarian Sausages x6 270g,1.10,unit,3.67,kg
Sainsbury's Italian Pepperoni 100g,1.20,unit,1.20,100g
Sainsbury's British Smoked Ham 120g x7 Slices,1.75,unit,1.46,100g
Sainsbury's Just Cook British Chicken Crown with Garlic & Herb Butter 525g (Serves 3),3.25,unit,6.19,kg
Sainsbury's Wensleydale Cheese with Cranberries 200g,1.70,unit,8.50,kg
Sainsbury's Smoked Cubetti Di Pancetta 160g,2.00,unit,1.25,100g
Sainsbury's Unsmoked Rindless British Gammon Steaks x2 400g,3.50,unit,8.75,kg
Sainsbury's Beef Steak & Caramelised Onion Burgers Taste the Difference x2 340g,2.50,unit,7.35,kg
Carr's Water Biscuits 125g,1.20,unit,96p,100g
Linda McCartney Mozzarella Burger x2 227g,2.20,unit,9.69,kg
The Bury Black Pudding Company Traditional Black Pudding Slices x4 230g,1.00,unit,4.35,kg
Sainsbury's Shelled Peas 160g,1.40,unit,8.75,kg
Sainsbury's Brussels Spreadable Pt 175g,80p,unit,46p,100g
Sainsbury's 21 day Matured Unfatted Top side/ Top Rump British Beef Roasting Joint (approx. 1.4kg),9.00,kg,9.00,kg
Heck Chicken Italia Sausages 340g,2.50,unit,7.35,kg
Sainsbury's Italian Style Salad 100g,1.25,unit,1.25,100g
Richmond Skinless Pork Sausages x12 340g,1.80,unit,5.64,kg
Sainsbury's Tender Green Medley 160g,1.50,unit,9.38,kg
Sainsbury's Spanish Chorizo Slices 70g,45p,unit,64p,100g
Sainsbury's 21 Day Matured Beef Escalopes Extra Lean 300g,3.95,unit,13.17,kg
Sainsbury's Italian Parma Ham Slices x6 80g,2.25,unit,2.81,100g
Sainsbury's British Honey Roast Ham 240g x14 Slices,2.50,unit,1.04,100g
Black Farmer Premium Pork Sausages Gluten Free x6 400g,3.00,unit,7.50,kg
Shloer White Grape Sparkling Juice Drink 750ml,1.50,unit,20p,100ml
Sainsbury's Roast Chicken Stuffing Topped Taste the Difference 135g,2.75,unit,2.04,100g
Sainsbury's Caesar Salad 265g,1.75,unit,66p,100g
Sainsbury's Italian Antipasto Selection 120g,2.50,unit,2.08,100g
Heck 97% Pork Sausages 400g,3.00,unit,7.50,kg
Sainsburys smoked British small gammon joint 750g,3.75,unit,5.00,kg
Sainsbury's Leeks SO Organic 400g,2.25,unit,5.63,kg
Sainsbury's Carrots Baby 1kg,1.00,unit,1.00,kg
Sainsbury's Fresh British Chicken Breaded Kiev With garlic & Parsley x2 Be good To Yourself 260g,2.20,unit,8.46,kg
Sainsbury's Lamb Whole Leg,11.00,kg,1.10,100g
Sainsbury's British Pork Loin Steaks x4 480g,1.89,unit,3.94,kg
Sainsbury's British Wafer Thin Cooked Ham 70g,60p,unit,86p,100g
Sainsbury's Sweet Chilli Roast Salmon Fillets x2 180g (Ready to eat),4.75,unit,2.64,100g
Sainsburys Cumberland British Pork Sausages Be Good To Yourself x8 454g,1.60,unit,3.52,kg
Sainsbury's Raw King Prawns 165g,3.10,unit,18.79,kg
Sainsbury's Lincolnshire British Pork Sausages Taste the Difference x6 400g,2.75,unit,6.88,kg
Aunt Bessie's Bake at Home Yorkshires x16 490g,2.10,unit,4.29,kg
Quorn Vegetarian Chicken Style Pieces 500g,2.60,unit,5.20,kg
Sainsbury's Baby Whole Leaf Spinach 1kg,1.50,unit,1.50,kg
Sainsbury's Air Dried Breaded Finely Sliced Ham Taste the Difference 120g,2.75,unit,2.29,100g
