Description,Price/Unit,Unit,Price/Measure,Measure
Activia No Added Sugar 0% Fat Mixed Red Fruits Yogurt 8x120,3.00,unit,31p,100g
Sainsbury's Lighter Mozzarella Cheese 125g,70p,unit,5.60,kg
Sainsbury's Grated Parmesan Cheese 120g,2.65,unit,22.08,kg
Sainsbury's Pepperoni Pizza 251g,1.80,unit,7.17,kg
Sainsbury's Caramelised Onion Houmous 200g,1.20,unit,60p,100g
Sainsbury's Sausage Rolls x6 360g,1.65,unit,46p,100g
Sainsbury's British Classic Cottage Pie 400g (Serves 1),2.00,unit,5.00,kg
Sainsbury's Ready Prepared Spring Greens 200g,1.00,unit,5.00,kg
Sainsbury's Egg Custard Tarts 4x81g,1.20,unit,30p,ea
Stork Original Spread 500g,1.25,unit,2.50,kg
"Sainsbury's Woodland Free Range Golden Yolked Mixed Weight Eggs, Taste the Difference x6",1.90,unit,32p,ea
Sainsbury's Classics Sausages & Mash 400g (Serves 1),2.00,unit,5.00,kg
"Sainsbury's West Country Lemon Curd Yogurt, Taste the Difference 150g",70p,unit,47p,100g
Alpro Plain Yoghurt Alternative 500g,1.75,unit,35p,100g
Sainsbury's Fresh Egg Penne 500g,1.75,unit,3.50,kg
Arla B.O.B. Skimmed Milk 2L,1.90,unit,95p,ltr
Sainsbury's Fresh Sweet Chilli Stir Fry Sauce 175ml,1.00,unit,57p,100ml
"Sainsbury's Woodland Free Range Mixed Weight Eggs, SO Organic x12",3.50,unit,29p,ea
Sainsbury's Stonebaked Pepperoni Hand Stretched Pizza 270g,3.00,unit,11.11,kg
Yeo Valley Organic Strawberry Yogurt 450g,1.25,unit,28p,100g
Actimel Yogurt Drink Strawberry 12x100g,3.75,unit,31p,100g
Alpro No Bits Strawberry-Banana & Peach-Pear Yoghurt Alternative x4 125g,1.90,unit,38p,100g
Sainsbury's Strawberry Trifle 4x125g,2.00,unit,40p,100g
New Covent Garden Classic Chicken Soup 560g,2.00,unit,36p,100g
Elmlea Single Cream Alternative 284ml,1.00,unit,35p,100ml
"Sainsbury's West Country Black Cherry Yogurt, Taste the Difference 150g",70p,unit,47p,100g
Sainsbury's Fresh Cream Belgian Chocolate Eclairs 4x35g,1.50,unit,1.10,100g
Sainsbury's Scotch Eggs x2 226g,1.20,unit,53p,100g
"Sainsbury's Fish Pie, Taste the Difference 400g (Serves 1)",4.00,unit,10.00,kg
Sainsbury's Fresh Teriyaki & Ginger Stir Fry Sauce 175ml,1.00,unit,57p,100ml
Sainsbury's Blue Stilton Cheese 220g,1.90,unit,8.64,kg
Sainsbury's Tiramisu Italian 2x100g,1.60,unit,80p,100g
Rachel's Organic Divine Rice Puddings 2x150g,1.60,unit,53p,100g
Sainsbury's Somerset Brie Cheese 230g,2.05,unit,8.91,kg
Sainsbury's Cheese & Onion Quiche 400g,2.30,unit,58p,100g
Sainsbury's Spinach & Ricotta Tortelloni 300g,1.25,unit,4.17,kg
Activia Mixed Yellow Fruits Yogurt 8x120g,3.00,unit,31p,100g
Sainsbury's Quiche Lorraine 170g,1.50,unit,88p,100g
