Description,Price/Unit,Unit,Price/Measure,Measure
Sainsbury's 100% Cotton Pleats 200g,1.00,unit,50p,100g
Right Guard Total Defence 5 Anti-Perspirant Deodorant Clean 250ml,1.50,unit,60p,100ml
Sensodyne Pronamel Daily Protection Enamel Care Toothpaste 75ml,3.80,unit,5.07,100ml
TRESemm Moisture Rich Luxurious Moisture Hair Shampoo 900ml,2.68,unit,30p,100ml
Dove Original Beauty Cream Bar 6x100g,2.50,unit,42p,100g
Nivea Shower Cream Gel Rich Moisture Sensitive 250ml,1.00,unit,40p,100ml
Jakemans Throat & Chest Lozenges x100g,65p,unit,65p,100g
Sainsbury's Double Faced Round Cotton Wool Pads x100,1.75,unit,2p,ea
Radox Bath Soak Stress Relief 500ml,1.20,unit,24p,100ml
L'Oreal Elvive Colour Protect Coloured Hair Conditioner 400ml,2.50,unit,63p,100ml
Sainsbury's Effervescent Vitamin C 1000mg x20,1.20,unit,6p,ea
Sanex Dermo Sensitive Roll On Antiperspirant Deodorant 50ml,1.50,unit,3.00,100ml
Bodyform Ultra Normal Sanitary Towels x16,1.00,unit,6p,ea
Always Dailies Fresh & Protect Panty Liners Normal x 60,2.00,unit,3p,ea
TRESemm Moisture Rich Luxurious Moisture Hair Conditioner 900ml,2.68,unit,30p,100ml
Aquafresh Big Teeth 6-8 Yrs Mild Mint Kids Toothpaste 75ml,2.00,unit,2.67,100ml
Aquafresh Complete Care Fresh Mint Alcohol Free Mouthwash 500ml,2.50,unit,50p,100ml
Sanex Zero% Sensitive Skin Shower Gel 250ml,1.00,unit,40p,100ml
Colgate Advanced White Whitening Toothpaste 125ml,3.50,unit,2.80,100ml
Calpol Infant Suspension Sugar Free Strawberry 100ml,3.50,unit,3.50,100ml
Baylis & Harding Jojoba Handwash 500ml,2.00,unit,40p,100ml
Panadol Advance paracetamol pain relief tablets x16,1.65,unit,10p,ea
Sure Women Roll On Anti-Perspirant Deodorant Cotton Dry 50ml,1.00,unit,2.00,100ml
Lynx Body Spray Deodorant Africa 150ml,1.75,unit,1.17,100ml
Oral-B Essential Waxed Regular Mint Dental Floss,2.00,unit,4p,mtr
Sainsbury's Hand Wash 500ml,50p,unit,10p,100ml
Colgate Total Active Fresh Toothpaste 125ml,2.00,unit,1.60,100ml
Gillette Sensitive Skin Shaving Gel 200ml,1.50,unit,75p,100ml
Always Ultra Normal (Size 1) Sanitary Towels Wings x14,1.90,unit,14p,ea
Johnson's Baby Bedtime Bath 500ml,2.00,unit,40p,100ml
Sensodyne Whitening Repair & Protect Fluoride Daily Toothpaste 75ml,3.50,unit,4.66,100ml
Palmolive Naturals Moisture Care With Olive Soap Bar 3x90g,1.00,unit,37p,100g
Palmolive Naturals Almond Handwash Soap 300ml,90p,unit,30p,100ml
Sainsbury's Hayfever & Allergy Relief x14,1.95,unit,14p,ea
Colgate Total Whitening Toothpaste Pump 100ml,3.50,unit,3.50,100ml
Dove Original Roll-On Anti-Perspirant Deodorant 50ml,1.50,unit,3.00,100ml
Nivea Men Shower Gel Sensitive 250ml,1.00,unit,40p,100ml
Corsodyl Fresh Mint Gum Care Alcohol Free Daily Mouthwash 500ml,3.00,unit,60p,100ml
Radox Bath Soak Feel Relaxed 500ml,1.20,unit,24p,100ml
Sainsbury's Ultra Towel Night Wings x10,65p,unit,7p,ea
Simple Cleansing Wipes Banded Pack 2x25,3.00,unit,6p,wipe
Colgate Triple Action Original Mint Toothpaste 100ml,96p,unit,96p,100ml
Gillette Sensitive Skin Shaving Foam 200ml,1.50,unit,75p,100ml
