Description,Price/Unit,Unit,Price/Measure,Measure
BEAR PAWS Fruit Shapes Strawberry & Apple 20g,55p,unit,2.75,100g
Ella's Kitchen Organic Chicken and Rice Casserole Baby Pouch 7+ Months 130g,1.30,unit,1.00,100g
Organix Farm Animal Biscuits 100g,1.60,unit,1.60,100g
Sainsbury's Little Ones Cotton Buds Paper Stemmed x100,40p,unit,0p,ea
SMA PRO Growing Up Milk 1-3 Years 800g,70p,unit,35p,100ml
Johnson's Baby Powder 500g,1.50,unit,30p,100g
Organix Carrot Stix 4x15g,1.65,unit,2.75,100g
Organix Mini Cheese Crackers 4x20g,1.75,unit,2.19,100g
Calpol Sugar Free Suspension Strawberry Flavour 6+ 80ml,3.50,unit,4.38,100ml
Organix Saucy Tomato Noughts & Crosses 4x15g,1.65,unit,2.75,100g
Huggies DryNites Girl 4-7 Years x10,5.50,unit,55p,napy
Ella's Kitchen Organic Beef Stew Baby Pouch 7+ Months 130g,1.30,unit,1.00,100g
Tilda Kids Sunshine Vegetable Rice 125g 12 Month+,1.00,unit,80p,100g
Ella's Kitchen Organic Spag Bol Baby Pouch 7+ Months 130g,1.30,unit,1.00,100g
Huggies DryNites Boy Pants 8-15 Years x9,5.50,unit,61p,napy
Sainsbury's Little Ones Dry Fit Size 3 Midi 56 Nappies,3.00,unit,5p,napy
Sainsbury's Little Ones Dry Fit Size 6+ 30 Nappies,3.00,unit,10p,napy
Sainsbury's Little Ones Dry Fit Size 5+ 36 Nappies,3.00,unit,8p,napy
Fairy Non Bio 3in1 Pods for Sensitive Skin Washing Liquid Capsules (51 Washes),11.00,unit,8.95,kg
BEAR PAWS Fruit Shapes Strawberry & Apple Multipack x5 20g,2.00,unit,2.00,100g
Johnson's Baby Gold Shampoo 300ml,1.50,unit,50p,100ml
Colgate Kids Toothbrush Extra Soft 0-3 Years,1.25,unit,1.25,ea
Pampers Baby Dry Size 5 Essential Pack 39 Nappies,6.75,unit,17p,napy
Aptamil 1 First Baby Milk Formula From Birth 800g,11.35,unit,1.42,100g
Organix Strawberry & Apple Gummies Organic Fruit Shape Toddler Snacks 12g,60p,unit,5.00,100g
Organix Cheese & Herb Puffs 4x15g,1.65,unit,2.75,100g
Dettol Laundry Sanitiser Antibacterial Liquid Additive Fresh Cotton 2.5L,7.50,unit,3.00,ltr
Pampers Baby-Dry Nappy Pants Size 5 12-17kg x33,4.50,unit,14p,napy
Ella's Kitchen Organic Strawberry and Banana Melty Puffs Baby Snack 6+ Months 20g,75p,unit,3.75,100g
The Collective Kids Raspberry Suckies Yoghurt 100g,60p,unit,60p,100g
Ella's Kitchen Organic Carrot and Parsnip Melty Puffs Baby Snack 6+ Months 20g,75p,unit,3.75,100g
Aquafresh Little Teeth Soft Bristle 3-5 Years Kids Toothbrush,2.00,unit,2.00,ea
Heinz Banana Biscotti Snack 60g 7 Month+,75p,unit,1.25,100g
Pampers Baby Dry Size 4 Essential Pack 44 Nappies,6.75,unit,15p,napy
Organix Banana Rice Cakes 50g,1.00,unit,2.00,100g
Always Discreet Incontinence Pads Normal For Sensitive Bladder x12,2.50,unit,21p,ea
Organix Strawberry Soft Oaty Bars 6x30g,2.00,unit,1.11,100g
Ella's Kitchen Organic The Purple One Smoothie Multipack Pouch 6+ Months 5 x 90g,3.00,unit,67p,100g
Milton Antibacterial Surface Wipes x30,2.00,unit,2.00,ea
Ella's Kitchen Organic Tomato and Basil Melty Sticks Baby Snack 7+ Months 16g,1.10,unit,5.00,100g
Sainsbury's Junior Paracetamol Suspension 100ml,2.05,unit,2.05,100ml
Eco by Naty Unscented Sensitive Wipes x56,1.85,unit,3p,ea
Ella's Kitchen Organic Spag Bol with Cheese Baby Pouch 10+ Months 190g,1.75,unit,92p,100g
L'Oral Kids Extra Gentle 2-in-1 Very Berry Strawberry Shampoo 250ml,2.40,unit,96p,100ml
Calpol Sugar & Colour Free Infant Suspension Paracetamol Medication For 2+ Months 100ml,3.50,unit,3.50,100ml
Milton Sterilising Tablets x28,1.50,unit,5p,ea
BEAR Fruit Yoyos Raspberry 20g,50p,unit,2.50,100g
Johnson's Baby Powder 200g,1.50,unit,75p,100g
Aquafresh Big Teeth Gum Friendly 6-8 Years Kids Soft Toothbrush,2.00,unit,2.00,ea
Johnson's Baby Gold Shampoo 500ml,1.50,unit,30p,100ml
Pampers Baby Dry Size 3 Essential Pack 50 Nappies,6.75,unit,14p,napy
SMA PRO First Infant Milk From Birth 800g,10.75,unit,1.34,100g
Pampers Baby Dry Size 6 Essential Pack 33 Nappies,6.75,unit,20p,napy
Organix Apple & Date Chunky Fruit Bars 6x17g,2.10,unit,2.06,100g
Kiddylicious Apple Fruity Bakes 6 x 22g (132g),2.05,unit,1.55,100g
Organix Alphabet Biscuits 5x25g,2.00,unit,1.60,100g
Sainsbury's Fairtrade Cottonwool Pads x100,1.85,unit,2p,ea
HiPP Organic 1 First Milk Powder 800g,10.50,unit,1.31,100g
Ella's Kitchen Organic Lamb Cous Cous Baby Pouch 7+ Months 130g,1.30,unit,1.00,100g
Annabel Karmel Tomato & Mascarpone Pasta With Hidden Veggies Toddler Meal 200g 12 Month+,2.50,unit,12.50,kg
SMA PRO Follow-on Milk Ready to Feed 6 Month+ 200ml,75p,unit,38p,100ml
Milton Sterilising Fluid 1L,2.50,unit,2.50,ea
Sainsbury's Little Ones Hand & Face Single Pack 15 Wipes,60p,unit,4p,wipe
Organix Cocoa & Raisin Soft Oaty Bars 6x30g,2.00,unit,1.11,100g
Sainsbury's Little Ones Dry Fit Size 6 Jumbo 60 Nappies,4.75,unit,8p,ea
L'Oreal Paris Kids 2-in-1 Tropical Mango Shampoo 250ml,2.40,unit,96p,100ml
Sainsbury's Little Ones Size 2 Newborn 46 Nappies,2.00,unit,4p,napy
Johnson's Baby Top To Toe Baby Bath 500ml,1.50,unit,30p,100ml
Nurofen Strawberry Oral Suspension 3mths to 9yrs Children 100ml,3.60,unit,3.60,100ml
Ella's Kitchen Organic Bangers and Mash Baby Pouch 7+ Months 130g,1.30,unit,1.00,100g
BEAR PAWS Fruit Shapes Raspberry & Blueberry Multipack x5 20g,2.00,unit,2.00,100g
Ella's Kitchen Organic Tomato-y Pasta Baby Pouch 10+ Months 190g,1.75,unit,92p,100g
Sainsbury's Baby Sponges Twin Pack x2,60p,unit,30p,ea
Pampers Baby-Dry Nappy Pants Size 6 15kg+ x52,9.75,unit,19p,ea
HiPP Spaghetti Bolognese tray Meal 230g 12 Month+,1.75,unit,76p,100g
Cow & Gate 1 First Baby Milk Formula From Birth 800g,8.75,unit,1.09,100g
Tilda Kids Cheese & Tomato Rice 125g 12 Month+,1.00,unit,80p,100g
Sainsbury's Little Ones Dry Fit Size 5 Jumbo 72 Nappies,4.75,unit,7p,ea
Sainsbury's Little Ones Organic Pear & Apple Smooth Puree from 4-6 Months 70g,60p,unit,86p,100g
HiPP Organic Scrumptious Lasagne Tray Meal 230g 12 Month+,1.75,unit,76p,100g
Ella's Kitchen Organic Beef Stew with Potatoes Baby Pouch 10+ Months 190g,1.75,unit,92p,100g
Ella's Kitchen Organic Carribbean Chicken Baby Pouch 10+ Months 190g,1.75,unit,92p,100g
Organix Banana Soft Oaty Bars 6x30g,2.00,unit,1.11,100g
Aquafresh Milk Teeth Gum Friendly 0-2 Years Kids Toothbrush,2.00,unit,2.00,ea
Ella's Kitchen Organic Lamb Roast Dinner Baby Pouch 10+ Months 190g,1.75,unit,92p,100g
Sainsbury's Kids 2in1 Bath & Shower Wash Sensitive 500ml,1.50,unit,30p,100ml
Heinz Chocolate Biscotti Snack 60g 7 Month+,75p,unit,1.25,100g
Sainsbury's Disposable Breast Pads x40,1.50,unit,4p,ea
WaterWipes Sensitive Biodegradable Baby Wipes 60 pack x4,8.75,unit,4p,wipe
HiPP Organic Star Pasta with Butternut Squash & Chicken Jar190g 7 Month+,70p,unit,37p,100g
Vitabiotics Wellkid Baby Liquid 150ml,5.00,unit,3.33,100ml
Kiddylicious Cheesy Straws 12g,70p,unit,5.83,100g
Pampers Baby Dry Size 5 Jumbo 72 Nappies,9.75,unit,14p,ea
Huggies Little Swimmers Size 5-6  11 Swim Nappies,4.00,unit,36p,napy
Organix Banana & Date Chunky Fruit Bars 6x17g,2.10,unit,2.06,100g
