Description,Price/Unit,Unit,Price/Measure,Measure
New York Bakery Co. Bagels Sesame x5,1.00,unit,20p,ea
New York Bakery Co. Bagels Wholemeal x5,1.00,unit,20p,ea
New York Bakery Co. Bagels Plain x5,1.00,unit,20p,ea
Sainsbury's Plain Tortilla Wraps x8 512g,90p,unit,11p,ea
Hovis Soft Medium Sliced White Bread 800g,1.09,unit,14p,100g
Kingsmill Medium Sliced 50/50 Bread 800g,1.00,unit,13p,100g
Hovis Seed Sensations Seven Seeds Medium Sliced Seeded Bread 800g,1.25,unit,16p,100g
Warburtons Crumpets x6,90p,unit,15p,ea
Sainsbury's Crumpets x8,33p,unit,4p,ea
Hovis Medium Sliced Wholemeal Bread 800g,1.10,unit,14p,100g
Warburtons Toastie Thick Sliced White Bread 800g,1.10,unit,14p,100g
Hovis Soft Thick Sliced White Bread 800g,1.10,unit,14p,100g
Sainsbury's Soft Multiseed Farmhouse Thick Sliced Wholemeal Bread Taste the Difference 800g,1.10,unit,14p,100g
Sainsbury's Medium Sliced Wholemeal Bread 800g,55p,unit,7p,100g
Hovis Medium Sliced Best of Both Bread 750g,1.15,unit,15p,100g
Sainsbury's White Rolls x6,70p,unit,12p,ea
Warburtons Thick Sliced Seeded Bread 800g,1.60,unit,20p,100g
Sainsbury's White Bake At Home Baguettes x2,85p,unit,43p,ea
Warburtons Medium Sliced Wholemeal Bread 400g,85p,unit,21p,100g
Warburtons Soft Farmhouse Medium Sliced White Bread 800g,1.35,unit,17p,100g
Sainsbury's Soft Medium Sliced White Bread 800g,55p,unit,7p,100g
Sainsbury's Garlic Baguette x2 420g,1.30,unit,31p,100g
Sainsbury's Fruity Hot Cross Buns Taste the Difference x4 280g,1.50,unit,38p,ea
Sainsbury's White Pittas x6,35p,unit,6p,ea
Sainsbury's Wholemeal Pittas x6,35p,unit,6p,ea
Warburtons Medium Sliced White Bread 800g,1.10,unit,14p,100g
Kingsmill Soft Medium Sliced White Bread 800g,90p,unit,11p,100g
Hovis Granary Medium Sliced Bread 800g,1.50,unit,19p,100g
Sainsbury's White Finger Rolls x6,70p,unit,12p,ea
Sainsbury's Hot Cross Buns x6,1.10,unit,18p,ea
Sainsbury's Multiseed Loaf Taste Difference 800g,1.35,unit,17p,100g
Sainsbury's Large White Baps x4,70p,unit,18p,ea
Hovis Thick Sliced Wholemeal Bread 800g,1.10,unit,14p,100g
Warburtons Toastie Thick Sliced White Bread 400g,85p,unit,21p,100g
Sainsbury's Wholemeal Tortilla Wraps x8 512g,90p,unit,11p,ea
Warburtons Brown Sandwich Thins x6,1.00,unit,17p,ea
Warburtons Crumpets x9,1.00,unit,11p,ea
Sainsbury's Croissants x8,1.75,unit,22p,ea
Kingsmill Medium Sliced Wholemeal Bread 800g,95p,unit,12p,100g
Warburtons Teacakes x4,80p,unit,20p,ea
Sainsbury's Pains Au Chocolat x4,1.25,unit,31p,ea
Sainsbury's Crusty White Baguette 400g,85p,unit,85p,ea
Warburtons Medium Sliced Wholemeal Bread 800g,1.00,unit,13p,100g
Sainsbury's Bake at Home White Petit Pains x6,85p,unit,14p,ea
New York Bakery Co. Bagels Cinnamon & Raisin x5,1.00,unit,20p,ea
Sainsbury's White Crusty Rolls x6,70p,unit,12p,ea
Sainsbury's Brioche Burger Buns Taste the Difference x2,1.00,unit,50p,ea
Sainsbury's Chocolate Filled Crepes x6,1.20,unit,63p,100g
Warburtons Lighter Medium Sliced Danish White Bread 400g,1.00,unit,25p,100g
Warburtons Plain Thin Bagels x6,1.20,unit,20p,ea
Soreen Malt Lunchbox Loaves 5x30g,1.50,unit,30p,ea
Stamford Street Garlic Baguette Basics x2 340g,64p,unit,19p,100g
Warburtons Sandwich Thins x6,1.00,unit,17p,ea
Sainsbury's Cheese Topped Rolls x4,80p,unit,20p,ea
Hovis Tasty Medium Sliced Wholemeal Bread 400g,85p,unit,21p,100g
Mission Deli Mini Wraps x6 186g,1.00,unit,17p,ea
Sainsbury's Morning Roll,30p,unit,30p,ea
Sainsbury's Wholemeal Rolls x6,70p,unit,12p,ea
Soreen Sliced Malt Loaf 290g,1.30,unit,46p,100g
Hovis Thick Sliced Best of Both Bread 750g,1.15,unit,15p,100g
Sainsbury's Garlic Slices x9 270g,1.65,unit,61p,100g
Sainsbury's Scotch Pancakes x6,42p,unit,7p,ea
Kingsmill Thick Sliced 50/50 Bread 800g,1.00,unit,13p,100g
Sainsbury's Doughnuts Jam Ball x5,95p,unit,19p,ea
Sainsbury's All Butter Croissants x4,95p,unit,24p,ea
Sainsbury's Mini Ciabatta Roll,30p,unit,30p,ea
Sainsbury's Egg Custard Tarts 4x81g,1.20,unit,30p,ea
Sainsbury's Giraffe Bread (Tiger) 400g,80p,unit,20p,100g
Hovis Granary Thick Sliced Bread 800g,1.50,unit,19p,100g
Soreen Banana Lunchbox Loaves 5x30g,1.50,unit,30p,ea
Sainsbury's Fruit Loaf 388g,1.00,unit,26p,100g
Sainsbury's Butter Brioche Roll x8,1.10,unit,14p,ea
Daily's Medium Sliced White Bread 800g,36p,unit,5p,100g
Daily's Medium Sliced Wholemeal Bread 800g,36p,unit,5p,100g
Sainsbury's Giraffe Bread (Tiger) 800g,1.10,unit,14p,100g
Sainsbury's Sultana Scones Taste the Difference x4,1.00,unit,25p,ea
Sainsbury's Bagels Plain White x4,1.20,unit,30p,ea
Sainsbury's Indian Plain Naan x2 260g,1.00,unit,38p,100g
Tunnock's Milk Chocolate Teacakes Biscuits x10,1.80,unit,1.80,ea
Hovis Granary Thick Sliced Bread 400g,95p,unit,24p,100g
Sainsbury's Toastie Thick Sliced White Bread 800g,55p,unit,7p,100g
Hovis Granary Thick Sliced Wholemeal Bread 800g,1.50,unit,19p,100g
Kingsmill Perfect Pancakes x6,80p,unit,13p,ea
Sainsbury's White Jumbo Hot Dog Rolls x6,75p,unit,13p,ea
Sainsbury's White Burger Buns x6,75p,unit,13p,ea
Sainsbury's Plain Folded Flatbreads x6,85p,unit,14p,ea
Sainsbury's Butter Croissants Taste the Difference x4,2.00,unit,50p,ea
Hovis Seed Sensations Seven Seeds Medium Sliced Seeded Bread 400g,95p,unit,24p,100g
Sainsbury's Fresh Cream Belgian Chocolate Eclairs 4x35g,1.50,unit,1.10,100g
Sainsbury's Egg Custard Tarts 2x81g,80p,unit,49p,100g
Mr Kipling Cherry Bakewells x6,1.60,unit,27p,ea
Sainsbury's Sesame Topped Burger Buns x6,70p,unit,12p,ea
Soreen Malt Loaf 260g,1.30,unit,50p,100g
Sainsbury's Flamebaked Plain Naans x2 260g,80p,unit,31p,100g
Sainsbury's Multiseed Loaf Taste the Difference 400g,1.00,unit,25p,100g
Sainsbury's Belgian Chocolate Eclairs 2x55g,1.00,unit,91p,100g
Sainsbury's Wholemeal Bread SO Organic 400g,95p,unit,24p,100g
Sainsbury's Giraffe Baguette (Tiger) 400g,85p,unit,85p,ea
Hovis Nimble Medium Sliced Wholemeal Bread 400g,85p,unit,21p,100g
Sainsbury's Hot Cross Buns Be Good To Yourself x6,1.10,unit,18p,ea
Sheldons White Oven Bottom Muffins x6,1.10,unit,18p,ea
Sainsbury's Garlic Flatbread Taste the Difference 195g,1.75,unit,89p,100g
Sainsbury's Milk Chocolate Chips 100g,80p,unit,80p,100g
Sainsbury's Large Multi Seeded Deli Rolls x4,95p,unit,24p,ea
Sainsbury's Sweet Pancakes x6 375g,1.50,unit,40p,100g
Sainsbury's Flame Baked Garlic & Coriander Naans x2 260g,80p,unit,31p,100g
Warburtons Medium Sliced White Bread 400g,85p,unit,21p,100g
Sainsbury's Half Ciabatta Taste the Difference x2,1.75,unit,88p,ea
Sainsbury's Sourdough Pave Taste the Difference 400g,1.70,unit,43p,100g
Sainsbury's San Francisco Style Sourdough Taste the Difference 400g,1.50,unit,38p,100g
Sainsbury's Stonebaked Ciabatta Rolls x4,1.20,unit,30p,ea
Sainsbury's White Plait Roll,30p,unit,30p,ea
Warburtons Fruit Loaf with Cinnamon and Raisin 400g,1.50,unit,38p,100g
Sainsbury's Milk Chocolate Cookies x5,1.00,unit,20p,ea
Cadbury Chocolate Mini Roll x10,2.90,unit,29p,ea
Sainsbury's Panini x4,1.25,unit,31p,ea
Sainsbury's Sandwich Loaf White Bread 800g,1.10,unit,14p,100g
Cadbury Chocolate Mini Rolls x5,1.60,unit,32p,ea
Kingsmill Thick Sliced Wholemeal Bread 800g,95p,unit,12p,100g
Sainsbury's Plain Pancakes x6 375g,1.50,unit,40p,100g
Sainsbury's Sourdough Medium Sliced White Bread Taste the Difference 400g,1.50,unit,38p,100g
Sainsbury's White Baton,45p,unit,45p,ea
Waffle Amour Belgian Style Toasting Waffles x8,1.00,unit,13p,ea
Sainsbury's Brown Baguettes Bake At Home x2,85p,unit,43p,ea
Warburtons Soft Farmhouse Medium Sliced Bread 400g,1.00,unit,25p,100g
McVitie's Jamaica Ginger Cake 225g (Serves 9),1.30,unit,53p,100g
Sainsbury's Thick Sliced Wholemeal Bread SO Organic 800g,1.45,unit,18p,100g
Sainsbury's Danish Pastry Raisin Whirls x2,1.20,unit,60p,ea
Sainsbury's Garlic Ciabatta 260g,1.60,unit,62p,100g
Food Doctor Stone Baked Seed & Cereal Pitta x6 360g,80p,unit,13p,ea
Mr Kipling Bramley Apple Pies x6,1.60,unit,27p,ea
New York Bakery Co. Bagels Wholemeal x5,1.00,unit,20p,ea
Sainsbury's Farmhouse Loaf White Bread 800g,1.10,unit,14p,100g
Sainsbury's Indian Garlic & Coriander Naan 260g,1.00,unit,38p,100g
Sainsbury's Plain Flour Tortillas x8 320g,1.00,unit,31p,100g
Burgen Medium Sliced Soya & Linseed Bread 800g,1.35,unit,17p,100g
Sainsbury's Bagels Multigrain x4,1.20,unit,30p,ea
Sainsbury's Danish Maple & Pecan Plait x2,1.30,unit,65p,ea
Sainsbury's Large Croissants x2,1.30,unit,65p,ea
Warburtons Seeded Thick Sliced White Bread 400g,95p,unit,24p,100g
Sainsbury's Brioche Burger Buns x4,95p,unit,24p,ea
Sainsbury's Large Oat Topped Wholemeal Deli Rolls x4,1.00,unit,25p,ea
Sainsbury's White Snack Rolls x8,70p,unit,9p,ea
Sainsbury's Large Teacakes Taste the Difference x4,1.50,unit,38p,ea
Warburtons Weight Watchers Soft Medium Sliced Danish Malted Bread 400g,1.00,unit,25p,100g
Mr Kipling Bakewell Cake Slices x6,1.00,unit,17p,ea
Warburtons Fruit Loaf With Orange 400g,1.50,unit,38p,100g
McVitie's Jaffa Cake Bars x5,70p,unit,14p,ea
Sainsbury's Double Chocolate Cookies x5,1.00,unit,20p,ea
Mr Kipling Viennese Whirls x6,1.60,unit,27p,ea
Sainsbury's Victoria Sponge Cake Taste the Difference 345g (Serves 6),2.75,unit,80p,100g
Old El Paso Regular Soft Flour Tortilla Wraps x8 326g,1.50,unit,46p,100g
Sainsbury's Oatmeal & Raisin Cookies x5,1.00,unit,20p,ea
Sainsbury's Garlic & Coriander Mini Naan x4 188g,90p,unit,48p,100g
Warburtons Milk Roll Soft Medium Sliced White Bread 400g,1.00,unit,25p,100g
Sainsbury's Mini Marshmallows Pink & White Vanilla 180g,1.20,unit,67p,100g
Pizza Express Dough Balls with Garlic Dip x16,3.00,unit,1.46,100g
Sainsbury's Chewy Granola Slices Taste Difference x4,1.50,unit,38p,ea
Genius Gluten Free Triple Seeded Sliced Bread 535g,2.00,unit,37p,100g
Sainsbury's Buttery Flapjacks x5 175g,1.00,unit,20p,ea
Sainsbury's Garlic Baguette x2 310g,80p,unit,2.37,kg
Sainsbury's Wholemeal Rustic Roll,30p,unit,30p,ea
Sainsbury's Farmhouse White Bread 400g,80p,unit,20p,100g
Sainsbury's Multiseed Crusty Roll,30p,unit,30p,ea
Sainsbury's Cherry Madeira Cake (Serves 8),1.25,unit,47p,100g
Sainsbury's Multiseeded Folded Flatbreads x6,85p,unit,14p,ea
Mr Kipling Country Cake Slice x6,1.00,unit,17p,ea
Sainsbury's Jam Tarts x6,90p,unit,15p,ea
Real Lancashire Eccles Cakes x4,1.60,unit,40p,ea
Sainsbury's Madeira Cake 275g (Serves 8),1.25,unit,45p,100g
Sainsbury's Large Wholemeal Baps x4,70p,unit,18p,ea
Mr Kipling Mini Battenberg Cakes x5,1.00,unit,20p,ea
Mr Kipling French Fancies x8,2.10,unit,26p,ea
Sainsbury's Belgian Chocolate Fudge Cake Taste Difference 395g (Serves 6),2.75,unit,70p,100g
Sainsbury's Kalamata Olive Bread Taste the Difference 400g,1.70,unit,43p,100g
Warburtons Premium Old English White Bread 400g,1.60,unit,40p,100g
Sainsbury's Farmhouse Cheese Scones Taste Difference x4,1.00,unit,25p,ea
Warburtons Extra Thick Sliced White Bread 800g,1.10,unit,14p,100g
Kingsmill Medium Sliced 50/50 Bread 400g,80p,unit,20p,100g
Sainsbury's Ciabatta Taste the Difference,1.60,unit,1.60,ea
Sainsbury's Genoa Cake 305g (Serves 8),1.40,unit,44p,100g
Sainsbury's Bramley Apple Pies x6 355g,81p,unit,14p,ea
Sainsbury's Garlic Baguette 210g,95p,unit,45p,100g
Brioche Pasquier Pains au Chocolat x6,1.50,unit,25p,ea
Rankin Selection Brown Soda Bread 400g,1.30,unit,33p,100g
Sainsbury's White Chocolate Cookies x5,1.00,unit,20p,ea
Sainsbury's Teacakes x6,1.00,unit,17p,ea
Sainsbury's Pains Au Chocolat x6 270g,1.00,unit,17p,ea
Sainsbury's Cherry Bakewells x6 240g,75p,unit,13p,ea
Brioche Pasquier Milk Brioche Rolls x8,1.50,unit,19p,ea
Sainsbury's Thick Sliced Wholemeal Bread 800g,55p,unit,7p,100g
Sainsbury's Danish Pastry Cinnamon Whirls x2,1.20,unit,60p,ea
Sainsbury's Walnut Cob Taste the Difference 400g,1.70,unit,43p,100g
Kelderman German Style Rye Bread 400g,1.35,unit,34p,100g
Hovis Medium Sliced Wheatgerm Bread 400g,95p,unit,24p,100g
Mr Kipling Jam Tarts Raspberry Apricot Blackcurrant x6,1.60,unit,27p,ea
Brioche Pasquier Pitch Chocolate x6,1.30,unit,22p,ea
Jus-Rol Pain Au Chocolat Dough x6 275g,1.50,unit,54p,100g
Old El Paso Large Soft Flour Tortilla Wraps x6 350g,1.50,unit,42p,100g
Mr Kipling Angel Cake Slices x8,2.30,unit,29p,ea
Sainsbury's Doughnuts White Iced Ring x4,1.00,unit,25p,ea
Sainsbury's Triple Belgian Chocolate Cookies Taste Difference x4,1.50,unit,38p,ea
Kingsmill No Crusts Soft Medium Sliced White Bread 400g,1.40,unit,35p,100g
Sainsbury's Pain Au Chocolat x2,1.30,unit,65p,ea
Sainsbury's Cornish Clotted Cream Scones Taste the Difference x4,1.00,unit,25p,ea
Sainsbury's Baguettine,35p,unit,35p,ea
Sainsbury's Mini Plain Naan x4,90p,unit,45p,100g
Kingsmill No Crusts Medium Sliced 50/50 Bread 400g,1.40,unit,35p,100g
Sainsbury's Walnut Cake (Serves 8),1.25,unit,39p,100g
Menissez Partbake Baguette 250g,1.15,unit,46p,100g
Sainsbury's Multiseed Soft Baps Taste the Difference x4,80p,unit,20p,ea
Mr Kipling Battenberg Cake 230g (Serves 6),1.00,unit,44p,100g
Sainsbury's Chunky Belgian Chocolate Shortbread Taste Difference x4,1.50,unit,38p,ea
Sainsbury's White Cheese Roll,30p,unit,30p,ea
Sainsbury's Hand Crafted Bread 400g,80p,unit,20p,100g
Warburtons 6 Soft Sliced White Rolls,1.00,unit,17p,ea
Sainsbury's Multiseed Thick Sliced Wholemeal Bread SO Organic 400g,1.10,unit,28p,100g
Sainsbury's Sultana Scones x6,1.00,unit,17p,ea
Waburtons Sliced Plain Bagels 5 pack,1.60,unit,32p,ea
Sainsbury's Cheese Twist,85p,unit,85p,ea
Vogel's Soya & Linseed Medium Sliced Bread 800g,1.55,unit,19p,100g
Rankin Selection Potato Farls x4,1.40,unit,35p,ea
Sainsbury's Sunflower Seed & Honey Roll,30p,unit,30p,ea
Sainsbury's Lemon Iced Madeira Cake (Serves 8),1.25,unit,41p,100g
Kingsmill No Crusts Medium Sliced Wholemeal Bread 400g,1.40,unit,35p,100g
McVitie's Galaxy Cake Bars x5,1.50,unit,30p,ea
Sainsbury's Mini Plain Naan x4 188g,90p,unit,48p,100g
Paul Hollywood Ready to Bake Crusty Rolls x4,1.40,unit,35p,ea
Sainsbury's Fresh Custard Slices x2 180g,1.40,unit,78p,100g
Mr Kipling Fruit Pies Selection Bramley Apple & Blackcurrant Apple Cherry x6,1.60,unit,27p,ea
New York Bakery Co. Onion & Chive Bagels x5,1.00,unit,20p,ea
Sainsbury's White Bread SO Organic 400g,95p,unit,24p,100g
Sheldon's Sliced Hot Dog Rolls x6,1.00,unit,17p,ea
Sainsbury's Colombian Coffee Cake Taste the Difference 400g (Serves 6),2.75,unit,69p,100g
Mr Kipling Almond Cake Slice x6,1.00,unit,17p,ea
Sainsbury's Garlic & Cheese Slices x9 315g,1.65,unit,52p,100g
Sainsbury's Vanilla Sponge Fairy Cakes x12,1.00,unit,8p,ea
Sainsbury's Ciabatta Garlic Breadsticks 135g,1.80,unit,1.33,100g
Bonne Maman Madeleines 175g,2.00,unit,1.14,100g
Warburtons 4 Seeded Protein Thin Bagels,1.20,unit,30p,ea
