Description,Price/Unit,Unit,Price/Measure,Measure
Linda McCartney Rosemary Vegetarian Sausages x6 270g,1.10,unit,3.67,kg
Sainsbury's Vanilla Soft Scoop Ice Cream 2L,1.80,unit,9p,100ml
Dr. Oetker Ristorante Pepperoni-Salame Pizza 320g,1.50,unit,4.69,kg
Linda McCartney Mozzarella Burger x2 227g,2.20,unit,9.69,kg
Sainsbury's Frozen Strawberries & Blueberries 400g,2.00,unit,50p,100g
Sainsbury's Cauliflower Florets 1kg,1.00,unit,1.00,kg
Magnum Ice Cream Almond 4x100ml,3.20,unit,80p,100ml
Birds Eye Original Chicken Chargrills x2 170g,1.65,unit,9.71,kg
Sainsbury's Lightly Spiced Wedges 900g,1.25,unit,1.39,kg
Magnum Mini Ice Cream Double Caramel & Double Chocolate 6x60ml,3.90,unit,1.08,100ml
Young's Chip Shop Large Cod Fillets 440g,4.50,unit,10.23,kg
Birds Eye Omega 3 Fish Fingers x10 280g,1.50,unit,5.36,kg
Fab Strawberry x6 348ml,2.00,unit,57p,100ml
Magnum Ice Cream White Chocolate 4x110ml,3.20,unit,73p,100ml
Sainsbury's Straight Cut Oven Chips Be Good To Yourself 900g,1.25,unit,1.39,kg
Sainsbury's Carrots Baby 1kg,1.00,unit,1.00,kg
Wall's Soft Scoop Ice Cream Dessert Vanilla 1.8L,2.00,unit,11p,100ml
Aunt Bessie's Bake at Home Yorkshires x16 490g,2.10,unit,4.29,kg
Quorn Vegetarian Chicken Style Pieces 500g,2.60,unit,5.20,kg
The Greengrocer Mixed Vegetables 1kg,69p,unit,69p,kg
Sainsbury's Baby Whole Leaf Spinach 1kg,1.50,unit,1.50,kg
Sainsbury's Cod Fish Fingers x12 360g,2.25,unit,6.25,kg
Birds Eye Breaded Cod Fillets x4 440g,4.80,unit,10.91,kg
Birds Eye Shortcrust Chicken Pies x4 620g,3.00,unit,4.84,kg
Sainsbury's Rocket Ice Lollies x8 464ml,1.10,unit,24p,100ml
Sainsbury's Cod Fillet Portion 380g,4.00,unit,10.53,kg
Sainsbury's Seasoned Curly Fries 700g,1.50,unit,2.14,kg
Sainsbury's Indulgence Ice Cream Milk Chocolate 4x110ml,1.35,unit,31p,100ml
Sainsbury's Indulgence Ice Cream Almond Chocolate 4x110ml,1.35,unit,31p,100ml
Mackie's of Scotland Luxury Traditional Real Dairy Ice Cream 1L,3.00,unit,30p,100ml
Young's Admirals Pie 300g,1.00,unit,3.33,kg
Sainsbury's Frozen Pain Au Chocolat x6 360g,2.25,unit,63p,100g
Sainsbury's Salmon Fillets 360g,4.00,unit,11.11,kg
Mars Ice Cream 4x51ml,1.50,unit,74p,100ml
Sainsbury's Potato Croquettes 700g,1.00,unit,1.43,kg
Birds Eye Chicken Dippers x22 403g,2.00,unit,4.96,kg
Ben & Jerry's Ice Cream Cookie Dough 465ml,4.00,unit,86p,100ml
Sainsbury's Fruit Juice Ice Cream Splits 6x73ml,1.10,unit,25p,100ml
Chicago Town Takeaway Large Stuffed Pepperoni Pizza 645g,2.50,unit,3.88,kg
Calippo Mini Ice Lolly Orange Lemon & Lime 6x80ml,2.00,unit,42p,100ml
Birds Eye Chicken Nuggets with Golden Wholegrain x50 790g,3.00,unit,3.80,kg
Sainsbury's Cod Fish Fingers x30 900g,5.00,unit,5.56,kg
Aunt Bessie's Roast Potatoes 1.4kg,2.00,unit,1.43,kg
Classic Vegetable Mix 1kg,1.30,unit,1.30,kg
Sainsbury's Crinkle Cut Chips 1.5kg,1.50,unit,1.00,kg
Quorn Vegetarian Chicken Style Nuggets 300g,2.00,unit,6.67,kg
Fries to Go 3x90g,2.40,unit,8.89,kg
Bernard Matthews Frozen Turkey Dinosaurs 450g,1.50,unit,3.33,kg
Sainsbury's Garlic Baguette x2 310g,80p,unit,2.37,kg
Sainsbury's Battered Onion Rings 800g,1.50,unit,1.88,kg
Swedish Glace Non Dairy Frozen Dessert Smooth Vanilla 750ml,2.50,unit,33p,100ml
Birds Eye Hot & Spicy Chicken Grills x2 180g,1.65,unit,9.17,kg
Sainsbury's Breaded Chunky Cod Loins Taste the Difference x2 300g,3.00,unit,10.00,kg
